,protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
0,JAK2,3KRR,Nc1ccn2ncc(C(=O)Nc3ccnn3-c3cc(Cl)ccc3Cl)c2n1,Ki,0.36,9.958607315
1,JAK2,3KRR,FC(F)Oc1ccc(Cl)cc1-c1nn(CC(=O)N2CCN(CC3CCOCC3)CC2)cc1NC(=O)c1cnn2cccnc12,Ki,7.8,9.585026652
2,JAK2,3KRR,CN1CCN(CC1)C(=O)Cn1cc(Nc2nc3c(cccn3n2)N2CC3CCC(C2)N3C(=O)C2CC(F)(F)C2)cn1,Ki,0.49,9.13667714
3,JAK2,3KRR,CCc1cc(O)ccc1-c1ccc2c(n[nH]c2c1)-c1nc(c[nH]1)C1=CCCN(C1)C(=O)OC,Ki,0.64,8.2779
4,JAK2,3KRR,CCOC(=O)N1CCC(=CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)NC3CCN(C)CC3)nc12,Ki,0.38,8.724702
5,JAK2,3KRR,NC(=O)c1cn(nc1NC(=O)C1CC1)C1(CC#N)CCN(Cc2ccc3cc[nH]c3c2)CC1,Ki,0.79,9.823908741
6,JAK2,3KRR,Cc1nc2cnc3[nH]ccc3c2n1C1CCN(CCC#N)CC1,Ki,0.5,8.135788
7,JAK2,3KRR,CCOC(=O)N1CCC(=CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)N3CC(C3)C3CCCN3C)nc12,Ki,0.31,8.66756154
8,JAK2,3KRR,CCCN1Cc2[nH]c(nc2C[C@H]1C(=O)N1CCN(CCO)CC1)-c1n[nH]c2cc(ccc12)-c1ccc(O)cc1CC,Ki,1.3,8.487454
9,JAK2,3KRR,Cc1ccc(OCCN(CC=C)C2CCN(CC2)C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(n2)-c2cc(Cl)ccc2OC(F)F)cc1,Ki,1500,7.83889
10,JAK2,3KRR,CN1CCCC2CN(CC12)C(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc(Cl)ccc1OC(F)F,Ki,2.51,9.113509275
11,JAK2,3KRR,COC(=O)Nc1nn(cc1C(N)=O)C1(CC#N)CCN(Cc2cc(ccc2F)C(F)F)CC1F,Ki,0.56,9.251811973
12,JAK2,3KRR,FC(F)(F)CCC(=O)N1CCC(=CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)N3CCCC(C3)c3cc4cccnc4[nH]3)nc12,Ki,0.44,9.408935393
13,JAK2,3KRR,CCn1ccc(n1)-c1ccc(CN2CCC(CC#N)(C(F)C2)n2cc(C(N)=O)c(NC(=O)OC)n2)cc1,Ki,0.29,8.589243
14,JAK2,3KRR,FC(F)Oc1cc2SCCOc2cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,Ki,0.07,9.468521083
15,JAK2,3KRR,CN(C)CCn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc2SCCNc2cc1OC(F)F,Ki,0.032,8.962573502
16,JAK2,3KRR,FC(F)Oc1cc2ccccc2cc1-c1nn(cc1NC(=O)c1cnn2cccnc12)C1CCCNC1,Ki,0.31,9.443697499
17,JAK2,3KRR,Clc1cccc(Cl)c1-c1nc(c[nH]1)-c1ccncc1,Ki,1.06,8.83121
18,JAK2,3KRR,CN1CCN(CC1)C(=O)Cn1cc(Nc2nc3c(cccn3n2)N2CC3CCC(C2)N3C(=O)C2CCSCC2)cn1,Ki,0.63,9.148741651
19,JAK2,3KRR,NC(=O)c1cn(nc1NC(=O)C1CC1)C1(CC#N)CCN(Cc2cccc(c2)-c2ccccc2)CC1,Ki,0.96,9.823908741
20,JAK2,3KRR,CCCc1cc(on1)-c1ccc2[nH]ncc2c1,Ki,1,8.414576
21,JAK2,3KRR,CN(C)C(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc(ccc1OC(F)F)[C@@H]1C[C@H]1C#N,Ki,0.26,8.88941029
22,JAK2,3KRR,COc1ccc(CCN(C)C2CCN(CC2)C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(n2)-c2cc(Cl)ccc2OC(F)F)cc1,Ki,310,9.318758763
23,JAK2,3KRR,FC(F)Oc1ccc(Cl)cc1-c1nn(cc1NC(=O)c1cnn2cccnc12)C1CCN(CCCN2CCCC2=O)CC1,Ki,1.73,9.602059991
24,JAK2,3KRR,CN(C)C(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc2SCCNc2cc1OC(F)F,Ki,0.03,8.923252
25,JAK2,3KRR,CN(C1CCN(C)CC1)C(=O)c1ccc(Nc2nc3c(cccn3n2)C2=CCN(CC2)C(=O)N2CC(C)(C)C2)cc1,Ki,0.2,8.995678626
26,JAK2,3KRR,NS(=O)(=O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(ncc1F)-c1c[nH]c2ncc(F)cc12,Ki,1.04,10.22184875
27,JAK2,3KRR,CCOC(=O)CC1(CCN(CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)N(C)C3CCN(C)CC3)nc12)c1ccc(Cl)cc1,Ki,0.18,8.616184634
28,JAK2,3KRR,Oc1cc(no1)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(ncc1F)-c1c[nH]c2ncc(F)cc12,Ki,0.95,10.52287875
29,JAK2,3KRR,COC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,Ki,1.01,9.251811973
30,JAK2,3KRR,CN(CCCc1ccccc1)C1CCN(CC1)C(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc(Cl)ccc1OC(F)F,Ki,57,9.065501549
31,JAK2,3KRR,CCOC(=O)N1CCC(=CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)N3CC4(CNC4)C3)nc12,Ki,0.4,8.688267
32,JAK2,3KRR,OC(=O)CN1CCN(CC1)C(=O)Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)-c1cc(Cl)ccc1OC(F)F,Ki,2.68,10.39794001
33,JAK2,3KRR,Clc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,Ki,1.1,8.797241
34,JAK2,3KRR,CNC(=O)CC1(CCN(CC1)c1cccn2nc(Nc3ccc(cc3)C(=O)N(C)C3CCN(C)CC3)nc12)c1ccc(Cl)cc1,Ki,0.24,9.214670165
35,JAK2,3KRR,CN1CCN(CC1)C(=O)Cn1cc(Nc2nc3c(cccn3n2)N2CC3CCC(C2)N3C(=O)CC(C)(C)C(F)(F)F)cn1,Ki,0.51,9.15490196
36,JAK2,3KRR,FC(F)Oc1ccc(Cl)cc1-c1nn(CC=C2CCC(CC2)NCCC#N)cc1NC(=O)c1cnn2cccnc12,Ki,7.3,9.602059991
